counter_party,timestamp,in_frequency,out_frequency,total_eth_received,total_eth_sent
0x00000000000c2e074ec69a0dfb2997ba6c7d2e1e,2023-05-13 13:35:11,0,3,0.0,0.0
0x0016f4ee4ef96251560ba4a45a479f07d6e0ff15,2023-06-14 10:18:35,1,0,1e-06,0.0
0x004bb6eaae792ea2e4385fdf41fe1998ab90929d,2023-09-23 06:01:23,1,0,4.65e-07,0.0
0x006929f17a092110b71c495883c53673c2f4ff3d,2023-10-05 12:01:11,2,0,1.065e-06,0.0
0x0089448efe95864c4f56f9c09d4524b1980bccdd,2023-09-17 13:06:47,1,0,2.77e-07,0.0
0x0089a8a294fd5fae2f9e1b7a0d6e3a0a95231cae,2023-06-25 14:22:23,1,0,0.00017,0.0
0x009515efabccdbafa485f3919d94c85ff23ba75d,2023-09-13 02:29:47,1,0,0.01,0.0
0x00b63a0bb962b4b5a02a4c1cfaced47474cf4666,2023-09-30 06:48:23,1,0,4.48e-07,0.0
0x00d5cbfb11c95ed8345caaddf0fff073fa4dba7e,2022-09-05 19:26:02,1,0,0.001041202810295,0.0
0x00ff430070ca3b0c88f49767ac5c3b551414f139,2023-08-31 07:36:59,1,0,8.644984961e-09,0.0
0x0108f0d765ba8dfd59f726dde8696ceb77751173,2023-04-24 13:39:35,1,0,0.0001,0.0
0x01208ec614a11bd5e6fc9c6208d9c4bdc10cfaee,2023-09-30 17:51:59,1,0,4.12e-07,0.0
0x0136b00be94ed8ea798f40e37135596337305461,2023-06-02 23:01:11,1,0,0.0,0.0
0x01413d479ab5b392dff6e532f52b945f684832c0,2022-11-19 03:40:59,2,0,0.0,0.0
0x0173a6c335c5c58939933649111c64b1dac2e221,2023-07-26 04:40:11,1,0,0.0,0.0
0x01d84a1a3d394eee44ae88be1845f8fa7e411145,2023-09-14 05:08:23,1,0,5.17e-07,0.0
0x01d997681b123c0ff6d8c25baf61c77e2e9d86c7,2023-09-23 17:14:47,1,0,7.4e-08,0.0
0x01daa6e6f13f76bb118a15144752333e8c59ea9c,2023-09-14 04:19:59,1,0,1.3e-06,0.0
0x0214f52ae0d2b48fea1934bb61ad9e7557174c55,2023-10-04 11:07:35,1,0,9e-09,0.0
0x02200c730dfe160c74fa6be2c38c4e0d4d2aeec4,2023-06-16 18:20:23,1,0,6.0038785055146e-05,0.0
0x02ab4620c0296dc91ccf64ff17f56a3b64fcb1a8,2023-05-23 01:57:35,1,0,0.0006,0.0
0x02c609919c0b4602340cbc31c4cb129ce5fc266c,2023-09-21 08:30:35,1,0,9.81e-07,0.0
0x0311345581bc39cbc93c89c9f6d407330a30d640,2023-12-07 12:37:35,1,0,1e-05,0.0
0x033b20799a993a40bb693b7a4b801f94773a0f77,2022-08-23 21:20:16,1,0,1e-05,0.0
0x03565d88c711e9c06ab1596cb474cdbd974706d9,2023-04-22 12:37:47,1,0,1e-05,0.0
0x036f5c8bde317a2ab6c337ee924f678d00c2278d,2023-09-22 09:13:47,1,0,8.99e-07,0.0
0x03755a9e53d333646b8c5ac24495162c1eb2999e,2023-07-27 01:21:35,1,0,0.0,0.0
0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,2022-05-15 23:34:08,0,4,0.0,0.0
0x03cdcf8ad3a074b4dbb7e80933c51ee2905e0ea8,2023-09-19 07:36:47,1,0,9.84e-07,0.0
