counter_party,timestamp,type,eth_value,in_frequency,out_frequency,total_eth_received,total_eth_sent
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-09-28 13:54:43,received,0.25,1,0,0.25,0.0
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-10-01 23:38:05,sent,0.00012,0,1,0.0,0.00012
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-10-02 00:04:11,sent,9e-05,0,2,0.0,0.00021
0x82afa2c4a686af9344e929f9821f3e8c6e9293ab,2015-10-02 00:07:53,sent,0.001,0,1,0.0,0.001
0x82afa2c4a686af9344e929f9821f3e8c6e9293ab,2015-10-02 00:11:26,sent,0.001,0,2,0.0,0.002
0x82afa2c4a686af9344e929f9821f3e8c6e9293ab,2015-10-02 00:12:47,sent,0.0,0,3,0.0,0.002
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-10-02 16:22:10,sent,0.00016,0,3,0.0,0.00037
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-10-02 16:36:13,sent,0.0,0,4,0.0,0.00037
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-10-02 16:39:12,sent,0.0,0,5,0.0,0.00037
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-10-02 16:39:12,sent,0.0,0,6,0.0,0.00037
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-10-02 16:39:18,sent,0.0,0,7,0.0,0.00037
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-10-02 16:40:19,sent,0.0,0,8,0.0,0.00037
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-10-02 16:42:07,sent,0.0,0,9,0.0,0.00037
0x7e2d0fe0ffdd78c264f8d40d19acb7d04390c6e8,2015-10-02 19:32:48,sent,0.0002,0,10,0.0,0.00057
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-04 08:44:47,received,2e-18,2,0,0.25,0.0
,2015-10-06 13:26:55,sent,0.0,0,1,0.0,0.0
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-13 12:24:23,received,1.0,3,0,1.25,0.0
0x6acc9a6876739e9190d06463196e27b6d37405c6,2015-10-13 12:49:39,sent,0.007,0,1,0.0,0.007
0x6acc9a6876739e9190d06463196e27b6d37405c6,2015-10-13 17:43:55,sent,0.007,0,2,0.0,0.014
0x6acc9a6876739e9190d06463196e27b6d37405c6,2015-10-13 17:47:13,sent,0.007,0,3,0.0,0.021
0x6acc9a6876739e9190d06463196e27b6d37405c6,2015-10-14 11:37:22,sent,0.007,0,4,0.0,0.028
,2015-10-14 14:11:53,sent,0.0,0,2,0.0,0.0
,2015-10-14 14:13:36,sent,0.0,0,3,0.0,0.0
0xce7fb4c38949d7c09bd95197c3981ec8bb0638e5,2015-10-20 09:17:12,sent,0.5,0,1,0.0,0.5
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-23 15:02:11,received,0.0,4,0,1.25,0.0
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-23 15:02:11,sent,0.0,4,1,1.25,0.0
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-23 15:02:31,sent,0.0,0,1,0.0,0.0
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-23 15:03:40,sent,9e-05,0,2,0.0,9e-05
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-23 15:13:24,sent,0.001,0,3,0.0,0.00109
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-23 15:13:48,sent,0.0005,0,4,0.0,0.00159
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-23 15:16:12,sent,0.0003,0,5,0.0,0.00189
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-23 15:16:12,sent,0.0003,0,6,0.0,0.00219
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-23 15:16:55,sent,0.0,0,7,0.0,0.00219
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-23 15:22:04,sent,0.0,0,8,0.0,0.00219
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-23 15:25:07,sent,0.001,0,9,0.0,0.00319
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-24 13:16:42,sent,0.0,4,2,1.25,0.0
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 13:54:46,sent,0.0,0,10,0.0,0.00319
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 13:56:37,sent,0.0009,0,11,0.0,0.00409
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 13:57:33,sent,0.0009,0,12,0.0,0.00499
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 13:58:59,sent,0.0005,0,13,0.0,0.00549
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 14:01:02,sent,0.0004,0,14,0.0,0.00589
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-24 14:19:00,received,0.0,5,2,1.25,0.0
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 14:19:24,sent,0.0,0,15,0.0,0.00589
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-24 14:23:01,sent,0.0,5,3,1.25,0.0
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 14:34:01,sent,0.0002,0,16,0.0,0.00609
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 14:34:58,sent,0.0,0,17,0.0,0.00609
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-24 14:40:32,sent,0.0,5,4,1.25,0.0
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 14:40:35,sent,0.0002,0,18,0.0,0.00629
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 14:41:50,sent,0.0,0,19,0.0,0.00629
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 14:42:42,sent,0.0,0,20,0.0,0.00629
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 14:49:38,sent,0.0,0,21,0.0,0.00629
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 14:54:54,sent,0.0,0,22,0.0,0.00629
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 14:55:28,sent,0.0001,0,23,0.0,0.00639
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 15:02:13,sent,0.0001,0,24,0.0,0.00649
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-24 15:29:13,sent,0.0,5,5,1.25,0.0
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 15:29:38,sent,0.0003,0,25,0.0,0.00679
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 15:30:12,sent,0.0,0,26,0.0,0.00679
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 15:30:43,sent,0.0002,0,27,0.0,0.00699
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-24 15:32:56,sent,0.0003,0,28,0.0,0.00729
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-25 11:21:07,sent,0.0,5,6,1.25,0.0
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-25 11:21:18,sent,0.0033,0,29,0.0,0.010589999999999999
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-25 11:22:51,sent,0.001,0,30,0.0,0.01159
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-25 11:25:27,sent,0.0,0,31,0.0,0.01159
0xb1247665ae0cbba65343cb7382d29b077ec47927,2015-10-25 13:22:07,sent,0.01,0,1,0.0,0.01
0x90786bf95df3f62c774695b166e6adfc8a0d18a5,2015-10-25 13:52:17,sent,0.001,0,1,0.0,0.001
0x90786bf95df3f62c774695b166e6adfc8a0d18a5,2015-10-25 14:51:49,sent,0.001,0,2,0.0,0.002
0xb1247665ae0cbba65343cb7382d29b077ec47927,2015-10-25 14:53:10,sent,0.001,0,2,0.0,0.011
0x90786bf95df3f62c774695b166e6adfc8a0d18a5,2015-10-25 14:53:53,sent,0.0,0,3,0.0,0.002
0x1db3439a222c519ab44bb1144fc28167b4fa6ee6,2015-10-26 18:08:21,sent,0.0,5,7,1.25,0.0
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-26 18:08:34,sent,0.002,0,32,0.0,0.01359
0xb1247665ae0cbba65343cb7382d29b077ec47927,2015-10-26 18:33:43,sent,0.001,0,3,0.0,0.012
0x3d9e942f183a7e564dd27479081f745a4f081f28,2015-10-26 18:34:03,sent,0.0006,0,1,0.0,0.0006
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-26 18:34:16,sent,0.0009,0,33,0.0,0.01449
0x31e684ad5c33b741b4043bb28ece3b0c1bf9e4d4,2015-10-26 18:35:03,sent,0.0009,0,34,0.0,0.01539
0xb1247665ae0cbba65343cb7382d29b077ec47927,2015-10-26 18:35:10,sent,0.0,0,4,0.0,0.012
0xb1247665ae0cbba65343cb7382d29b077ec47927,2015-10-26 18:57:40,sent,0.0001,0,5,0.0,0.0121
