address,risk_score,risk_label,prediction_time
0x29d7d1dd5b6f9c864d9db560d72a247c178ae86b,28.658875828192755,0,2025-03-15 17:40:33
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,9.93262677934851,0,2025-03-15 17:59:52
clear,99.9705546729616,1,2025-03-15 18:02:31
fd,99.9705546729616,1,2025-03-15 18:05:04
0x4182d887fb4fba8cd49e9f50908c13c761080ec5,32.561214930170706,0,2025-03-15 18:09:46
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,0.0871543261081209,0,2025-03-15 18:49:59,"{'ERC20 max val sent': {'value': np.float64(175560000256930.47), 'contribution': np.float64(730507818850.3903)}, 'ERC20 total ether sent': {'value': np.float64(242418007845545.25), 'contribution': np.float64(618414990172.8174)}, 'total ether received': {'value': np.float64(14621.565609244855), 'contribution': np.float64(1645.2061481889134)}, 'Time Diff between first and last (Mins)': {'value': np.float64(5418.0), 'contribution': np.float64(758.4772223769262)}, 'total Ether sent': {'value': np.float64(8812.128982150389), 'contribution': np.float64(458.48795935092863)}}"
hjd,99.94427536546951,1,2025-03-15 19:12:29
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,12.096780577798175,0,2025-03-15 19:15:33
0x64f0d720ce8b97ba44cd002005d2dfa3186c0580,0.266941093509937,0,2025-03-15 19:17:33,"{'Time Diff between first and last (Mins)': {'value': np.float64(2393525.8666666667), 'contribution': np.float64(323014.7665534032)}, 'Avg min between received tnx': {'value': np.float64(3923.7809836065576), 'contribution': np.float64(338.2885159258768)}, 'Received Tnx': {'value': np.int64(611), 'contribution': np.float64(28.64576178279976)}, 'Unique Received From Addresses': {'value': np.int64(310), 'contribution': np.float64(26.930747344837535)}, 'total ether received': {'value': np.float64(5.0), 'contribution': np.float64(0.5721077862584625)}}"
0x64f0d720ce8b97ba44cd002005d2dfa3186c0580,0.24127111921035524,0,2025-03-15 19:21:10,"{'Time Diff between first and last (Mins)': {'value': np.float64(2393525.8666666667), 'contribution': np.float64(342885.63999376365)}, 'Avg min between received tnx': {'value': np.float64(3923.7809836065576), 'contribution': np.float64(334.6263705541146)}, 'Received Tnx': {'value': np.int64(611), 'contribution': np.float64(29.043306095104345)}, 'Unique Received From Addresses': {'value': np.int64(310), 'contribution': np.float64(25.49646786976981)}, 'total ether received': {'value': np.float64(5.0), 'contribution': np.float64(0.5736209143954825)}}"
0x4182d887fb4fba8cd49e9f50908c13c761080ec5,0.35279613161537804,0,2025-03-15 19:26:41,"{'Time Diff between first and last (Mins)': {'value': np.float64(18074.866666666665), 'contribution': np.float64(2688.5476440095395)}, 'Avg min between sent tnx': {'value': np.float64(18049.85), 'contribution': np.float64(799.4361349885769)}, 'Avg min between received tnx': {'value': np.float64(736.5), 'contribution': np.float64(62.96306550062373)}, 'total ether received': {'value': np.float64(34.980000000000004), 'contribution': np.float64(3.9609606195537865)}, 'total Ether sent': {'value': np.float64(34.978), 'contribution': np.float64(1.9729801383514236)}}"
