counter_party,timestamp,type,eth_value,in_frequency,out_frequency,total_eth_received,total_eth_sent
0x51971c86b04516062c1e708cdc048cb04fbe959f,2024-01-12 01:42:23,received,100.1614159606187,1,0,100.1614159606187,0.0
0x51971c86b04516062c1e708cdc048cb04fbe959f,2024-01-12 01:48:23,received,2347.9791230257233,2,0,2448.140538986342,0.0
0x6e8349e87f11e08c2d46a74a3ee92e067459d158,2024-01-12 01:53:35,received,3.523252049317,1,0,3.523252049317,0.0
0x724cd7f6a5fb76e672d06e0ffd612695c640f1a0,2024-01-12 01:57:59,sent,0.0362617,0,1,0.0,0.0362617
0xa6d78ef291156ff6c6d3e7cd175d52389c05cc00,2024-01-12 01:59:11,sent,0.09783297,0,1,0.0,0.09783297
0x70e0ffe627e7ee9c79d832d8ac97e7717f82e8ca,2024-01-12 01:59:59,sent,0.09900504,0,1,0.0,0.09900504
0xe1174a4fabec9384f900272188d5e93b68ee8da4,2024-01-12 01:59:59,sent,0.0145,0,1,0.0,0.0145
0xaa9f50734dcd911c0e2c24e73b0b782d5c399708,2024-01-12 02:02:23,sent,0.5877168,0,1,0.0,0.5877168
0x93ae8842579f0f073a1700327e3214c1b4452df9,2024-01-12 02:02:23,sent,0.94852875,0,1,0.0,0.94852875
0xfab0e08bc82e171db7d9228de6347b3bf877b618,2024-01-12 02:03:47,sent,1.9365551,0,1,0.0,1.9365551
0xe8a0bc86b9fcbb3e0c24a9df9b62699ac892684a,2024-01-12 02:06:59,sent,0.110905,0,1,0.0,0.110905
0xcf92aa9ec5a341604a0dbc60024ec1fb980177b5,2024-01-12 02:07:47,sent,0.3248728,0,1,0.0,0.3248728
0xebc7fdf432c4c1c199ceeeb2ed40bc9b2729877e,2024-01-12 02:08:23,sent,0.045,0,1,0.0,0.045
0x19ae94518d56ae5f80f04ca2f1bff3e8d4958411,2024-01-12 02:08:47,sent,0.0170809,0,1,0.0,0.0170809
0xd9439b9208e8778d159f3452dcaf68a698770468,2024-01-12 02:10:59,sent,0.105,0,1,0.0,0.105
0x70f6beb6343ba1e9940bccf6dfb6eedc071dba63,2024-01-12 02:12:23,sent,0.028,0,1,0.0,0.028
0x30e79ffbf7cea7a14ed0ff8e1009dace3d847f29,2024-01-12 02:13:23,sent,0.0455524,0,1,0.0,0.0455524
0x54ec69490580db5b7c2cada1b912aa7ef0330d5e,2024-01-12 02:17:23,sent,0.204793,0,1,0.0,0.204793
0xf73ea97f945ba4eb3a304654a9c0c53ba148b8a2,2024-01-12 02:18:35,sent,0.02402746,0,1,0.0,0.02402746
0x79ca4d0905c4a2c953acad3e16ef6912ca553d38,2024-01-12 02:18:35,sent,0.15287543,0,1,0.0,0.15287543
0x57e002cab61c724833d550dabcd35c5bf66dc484,2024-01-12 02:19:47,sent,0.028,0,1,0.0,0.028
0xf9a66bd7c61ae2b796bf0277a455e92ec2403c48,2024-01-12 02:21:23,sent,0.0556,0,1,0.0,0.0556
0x394268d5f0993ca01b8892f2f8228b9a02fdabdf,2024-01-12 02:21:23,sent,0.039958,0,1,0.0,0.039958
0x3d00396754cadb303ecf6269b80acdf8e86e75a9,2024-01-12 02:21:35,sent,0.008,0,1,0.0,0.008
0x981405b89eafdeb3b1f22cc868e2f63c723b7988,2024-01-12 02:22:23,sent,0.0112867,0,1,0.0,0.0112867
0xd216cb59baade86ac2950d32290e11b7b90b7736,2024-01-12 02:22:23,sent,0.01150926,0,1,0.0,0.01150926
0xec0c8c642470ec46a3f71babf2117aeea53d48c5,2024-01-12 02:22:59,sent,0.1005,0,1,0.0,0.1005
0x778bfb4f4553ff2c6c12a5660165636485d156c4,2024-01-12 02:23:23,sent,0.018,0,1,0.0,0.018
0x72c8a2544ef59a78b98ccab8c6357d2cac428579,2024-01-12 02:23:59,sent,2.198,0,1,0.0,2.198
0xcacb3f7e83ef0c65a8901ff50f2020bdb32e3f37,2024-01-12 02:24:23,sent,0.7703692,0,1,0.0,0.7703692
0x8d50346a3d6042301879eef9618ad48e6275eec8,2024-01-12 02:26:23,sent,0.1233745,0,1,0.0,0.1233745
0x65fa75520755e1bf37dc18d1e0ec1c8bc6fb0047,2024-01-12 02:28:23,sent,0.07585234,0,1,0.0,0.07585234
0x3d00396754cadb303ecf6269b80acdf8e86e75a9,2024-01-12 02:28:59,sent,0.6056817,0,2,0.0,0.6136817
0x4bcca897358fb12e8bc11f4c74266e8b9d2407a3,2024-01-12 02:30:23,sent,0.0963016,0,1,0.0,0.0963016
0xa0202e30547090ebbc5a4d1064d0a111c09b0776,2024-01-12 02:33:47,sent,0.0248731,0,1,0.0,0.0248731
0x37c17aebe49090b4bd6d88c86f1131dade3fbe5e,2024-01-12 02:35:35,sent,0.0857122,0,1,0.0,0.0857122
0xc44a92aea9dc912d1a2f74f596d63c9cafbc9f60,2024-01-12 02:35:35,sent,0.0078,0,1,0.0,0.0078
0xbfca14c936c71c7d5f0f05d44edb14b63bb9925d,2024-01-12 02:36:35,sent,0.03,0,1,0.0,0.03
0x940797675db9a3218eee289543b4e6a165558f09,2024-01-12 02:36:35,sent,0.01333887,0,1,0.0,0.01333887
0xc7e69b38467a25a36e176b0b5d552b984041bc70,2024-01-12 02:36:35,received,1.091958623891,1,0,1.091958623891,0.0
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-12 02:38:47,sent,0.0,0,1,0.0,0.0
0x6f7ffa25ae7956427ca094a4028b3528a56988e9,2024-01-12 02:38:59,sent,0.4698277,0,1,0.0,0.4698277
0x78ab1a4519782985df129bef5e7c3fc37a70d184,2024-01-12 02:40:59,sent,0.26345405,0,1,0.0,0.26345405
0x5723583197e4a462534a2db4147983345d8cbcc8,2024-01-12 02:40:59,sent,0.198,0,1,0.0,0.198
0x185fa6a82eaa701dbe949b5ce6db1d3004b4e55c,2024-01-12 02:41:47,sent,0.0078,0,1,0.0,0.0078
0x4cdb94ae3d1c8d0bd069c2855aa381498644e1c5,2024-01-12 02:41:47,sent,0.0115,0,1,0.0,0.0115
0xa82e72d84d084b2e23eb91fc4223188d49825da8,2024-01-12 02:41:47,sent,0.574423,0,1,0.0,0.574423
0x24094c8ccda7a5aa33aac6bd2ebb6a875d5afb20,2024-01-12 02:42:23,received,1.077173991935,1,0,1.077173991935,0.0
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-12 02:43:47,sent,0.0,0,2,0.0,0.0
0x17a09d21efe897207764462b5762218c3cb32798,2024-01-12 02:45:23,sent,0.9868102,0,1,0.0,0.9868102
0x79eab4676ecf1c4bcbbcb805ea273ca3fe4ec431,2024-01-12 02:45:23,received,4.9897259919309995,1,0,4.9897259919309995,0.0
0xf918db22aa1bb8d2188af3c366db4de4a4f651ed,2024-01-12 02:46:59,sent,0.7153982,0,1,0.0,0.7153982
0xddde51ec006f2433ebaa1268c14b6d5b3dfb7606,2024-01-12 02:48:47,sent,0.997,0,1,0.0,0.997
0x5f557b0be31f48c3914bb4552a3f718645dc8f88,2024-01-12 02:49:47,sent,0.00786152,0,1,0.0,0.00786152
0x75592d6ed5534f206c84faa62ee4a2c6d0876860,2024-01-12 02:50:47,sent,0.1125853,0,1,0.0,0.1125853
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 02:50:47,sent,0.0,0,1,0.0,0.0
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 02:51:23,sent,0.0,0,2,0.0,0.0
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 02:51:59,sent,0.0,0,3,0.0,0.0
0x370eee0cf840c93577e33bdf73d3f2f2362f04c4,2024-01-12 02:52:47,sent,0.498,0,1,0.0,0.498
0x51fdb8b4d2e34ec6378669f30dde29ea08475b5b,2024-01-12 02:54:59,sent,0.06415434,0,1,0.0,0.06415434
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 02:54:59,sent,0.0,0,4,0.0,0.0
0xe639795670c3180c1a0c87844b89d0d41ae133bb,2024-01-12 02:56:23,sent,0.045,0,1,0.0,0.045
0x72fdd78a46b0f641d6167c4b5f0ad3d2f6a72897,2024-01-12 02:56:23,sent,0.1249729,0,1,0.0,0.1249729
0x30a62644e64c7f51835f15567626289b579e1c12,2024-01-12 02:56:47,sent,0.0505474,0,1,0.0,0.0505474
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 02:57:35,sent,0.0,0,5,0.0,0.0
0xb4e9d8403abd473f7b2322387be0492a635487c0,2024-01-12 02:58:35,sent,0.0373606,0,1,0.0,0.0373606
0xe9c08b22ffb427367bc006fd238eaf6a255a4c08,2024-01-12 02:58:35,sent,0.6242731,0,1,0.0,0.6242731
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 02:59:23,sent,0.0,0,6,0.0,0.0
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 02:59:23,sent,0.0,0,7,0.0,0.0
0x1c7b14ab211e166711fafb048b3b711b6de48582,2024-01-12 03:00:35,sent,0.008,0,1,0.0,0.008
0xe12bfc9bef4bbed0002cf9d07c6b91624b495a5f,2024-01-12 03:01:23,sent,0.008,0,1,0.0,0.008
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-12 03:01:59,sent,0.0,0,3,0.0,0.0
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 03:02:47,sent,0.0,0,8,0.0,0.0
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-01-12 03:02:47,sent,0.0,0,4,0.0,0.0
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 03:03:23,sent,0.0,0,9,0.0,0.0
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 03:05:35,sent,0.0,0,10,0.0,0.0
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 03:05:35,sent,0.0,0,11,0.0,0.0
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 03:05:47,sent,0.0,0,12,0.0,0.0
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 03:05:59,sent,0.0,0,13,0.0,0.0
0x66e19fcb3cc087cc1fcd5e25c8f46d6d422571ea,2024-01-12 03:06:47,sent,2.9972,0,1,0.0,2.9972
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 03:07:23,sent,0.0,0,14,0.0,0.0
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 03:08:35,sent,0.0,0,15,0.0,0.0
0x03b09be890ec307e879d27350cee34c66a233d05,2024-01-12 03:08:59,sent,2.44060849,0,1,0.0,2.44060849
0x66d7ac87e942013c0d615d9ca404cc9594793b96,2024-01-12 03:09:47,sent,1.0033936,0,1,0.0,1.0033936
0x0746b79958e401840c139d31f8e9639cb6c956e7,2024-01-12 03:09:59,received,1.010100618539,1,0,1.010100618539,0.0
0x38e0100fd95fbae09934f6e84d4751f96272297c,2024-01-12 03:10:47,sent,0.17911991,0,1,0.0,0.17911991
0xdacfa2b0166f5560a79674d409ff43382cbd243f,2024-01-12 03:10:47,sent,0.08791,0,1,0.0,0.08791
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 03:10:47,sent,0.0,0,16,0.0,0.0
0x49d8363ad6282a5f86d79c7d573504e52e7c2ece,2024-01-12 03:11:59,sent,0.829168,0,1,0.0,0.829168
0xdac17f958d2ee523a2206206994597c13d831ec7,2024-01-12 03:12:11,sent,0.0,0,17,0.0,0.0
